Categoria,Nivel,POSICION,RANGO SALARIAL,CODIGO POSICION,SALARIO LOCAL,SALARIO BORDERLESS
"Entry 
Level",L1,SOCIAL MEDIA OPTIMIZATION,Min,TWW-SOME-OPT-CL,0,0
"Entry 
Level",L1,SOCIAL MEDIA MANAGER,Min,TWW-SOME-MAN-CL,6000,886.0759494
"Entry 
Level",L1,DIGITAL GRAPHIC DESIGNER MID,Min,TWW-DGD-MID-CL,7200,1063.291139
"Entry 
Level",L1,MOTION DESIGNER JR,Min,TWW-MD-JR-CL,7200,1063.291139
Frontline,L2,UX/UI DESIGNER MID,Min,TWW-UXUID-MID-CL,9600,1417.721519
Frontline,L2,QUALITY ASSURANCE MID,Min,TWW-QA-MID-CL,8000,1181.434599
Frontline,L2,DIGITAL CONTENT GENERATOR,Min,TWW-DCG-CL,8000,1181.434599
Frontline,L2,BACKEND DEVELOPER JR,Min,TWW-BD-JR-CL,8000,1181.434599
Frontline,L3,UX/UI DESIGNER MID,Min,TWW-UXUID-MID-CL,9600,1417.721519
Frontline,L3,WEB DEVELOPER MID,Min,TWW-WEBD-MID-CL,10000,1476.793249
Frontline,L3,FRONTEND DEVELOPER MID,Min,TWW-FROD-MID-CL,10000,1476.793249
Frontline,L3,BACKEND DEVELOPER MID,Min,TWW-BD-MID-CL,10000,1476.793249
Management,L4,FULLSTACK DEVELOPER MID,Min,TWW-FULD-MID-CL,10000,1476.793249
Management,L4,IT COORDINATOR,Min,TWW-ITC-CL,9600,1417.721519
Management,L4,DIGITAL GRAPHIC DESIGNER SR,Min,TWW-DGD-SR-CL,9600,1417.721519
Management,L5,WEB DEVELOPER MID,Min,TWW-WEBD-MID-CL,10000,1476.793249
Management,L5,ANDROID DEVELOPER MID,Min,TWW-AND-MID-CL,10000,1476.793249
Management,L5,FULLSTACK DEVELOPER MID,Min,TWW-FULD-MID-CL,10000,1476.793249
Management,L5,BACKEND DEVELOPER MID,Min,TWW-BD-MID-CL,10000,1476.793249
Management,L5,FLUTTER DEVELOPER MID,Min,TWW-FLUD-MID-CL,10000,1476.793249
Management,L5,PRODUCT OWNER MID,Min,TWW-PO-MID-CL,12800,1890.295359
Management,L5,SOCIAL MEDIA DIRECTOR LEAD,Min,TWW-SOMEDI-LEAD-CL,14400,2126.582278
Management,L5,PRODUCT OWNER MID,Min,TWW-PO-MID-CL,12800,1890.295359
Management,L5,BACKEND DEVELOPER SR,Min,TWW-BD-SR-CL,13200,1949.367089
Management,L5,WEB DEVELOPER SR,Min,TWW-WEBD-SR-CL,13200,1949.367089
Management,L5,CLOUD ENGINEER Y DEVOPS,Min,TWW-CED-CL,13200,1949.367089
Management,L5,PRODUCT OWNER SR,Min,TWW-PO-SR-CL,17600,2599.156118
Management,L5,SENIOR MAGENTO DEVELOPER,Min,TWW-MAGD-SR-CL,12800,1890.295359
Management,L5,IOS DEVELOPER MID,Min,TWW-IOSD-MID-CL,14400,2126.582278
Management,L5,SOLUTIONS ARQUITECT,Min,TWW-SOLARQ-CL,14400,2126.582278
Sr Management,L6,QUALITY ASSURANCE SR,Min,TWW-QA-SR-CL,12800,1890.295359
Sr Management,L6,ANDROID DEVELOPER SR,Min,TWW-AND-SR-CL,13200,1949.367089
Sr Management,L6,BACKEND DEVELOPER SR,Min,TWW-BD-SR-CL,13200,1949.367089
Sr Management,L6,WEB DEVELOPER SR,Min,TWW-WEBD-SR-CL,13200,1949.367089
Sr Management,L6,FLUTTER DEVELOPER SR,Min,TWW-FLUD-SR-CL,13200,1949.367089
Sr Management,L6,FULLSTACK DEVELOPER SR,Min,TWW-FULD-SR-CL,13200,1949.367089
Sr Management,L6,SCRUM MASTER SR,Min,TWW-SCMAS-SR-CL,16000,2362.869198
Sr Management,L6,PLO,Min,TWW-PLO-CL,16000,2362.869198
Sr Management,L6,SCRUM MASTER SR,Min,TWW-SCMAS-SR-CL,16000,2362.869198
Sr Management,L6,IOS DEVELOPER MID,Min,TWW-IOSD-MID-CL,14400,2126.582278
Sr Management,L6,BACKEND DEVELOPER LEAD,Min,TWW-BD-LEAD-CL,19200,2835.443038
Sr Management,L6,LEAD DESIGNER,Min,TWW-UXUID-LEAD-CL,20000,2953.586498
Sr Management,L6,IOS DEVELOPER LEAD,Min,TWW-IOSD-LEAD-CL,20000,2953.586498
Sr Management,L6,IOS DEVELOPER SR,Min,TWW-IOSD-SR-CL,18000,2658.227848
Sr Management,L6,ANDROID DEVELOPER LEAD,Min,TWW-AND-LEAD-CL,19200,2835.443038
Sr Management,L7,COO / CPO,Min,TWW-COO/CPO-CL,0,0
Sr Management,L7,MOBILE MANAGER,Min,TWW-MOB-MAN-CL,31416,4639.493671
Sr Management,L7,CTO,Min,TWW-CTO-CL,32000,4725.738397
"Entry 
Level",L1,SOCIAL MEDIA OPTIMIZATION,Med,TWW-SOME-OPT-BL,0,0
