Código,Codigo de Puesto
GET00604,TWW-COO/CPO
GET00605,TWW-QA-MID-BL
GET00557,TWW-UXUID-MID-CL
GET00607,TWW-UXUID-MID-CL
GET00608,TWW-IOSD-LEAD-CL
GET00609,TWW-MOB-MAN-CL
GET00610,TWW-WEBD-MID-CL
GET00611,TWW-FROD-MID-CL
GET00612,TWW-BD-SR-BL
GET00613,TWW-BD-LEAD-CL
GET00614,TWW-IOSD-MID-BL
GET00615,TWW-BD-LEAD-CL
GET00616,TWW-SOMEDI-LEAD-CL
GET00617,TWW-SOME-MAN-BL
GET00618,TWW-DGD-MID-BL
GET00619,TWW-MD-JR-CL
GET00620,TWW-DCG-CL
GET00621,TWW-CEO
GET00622,TWW-WEBD-SR-AL
GET00623,TWW-SCMAS-SR-BL
GET00624,TWW-PO-MID-CL
GET00625,TWW-BD-MID-CL
GET00626,TWW-IOSD-MID-CL
GET00627,TWW-WEBD-MID-CL
GET00628,TWW-SOLARQ-BL
GET00629,TWW-FULD-MID-CL
GET00630,TWW-IOSD-LEAD-CL
GET00631,TWW-BD-SR-BL
GET00632,TWW-BD-MID-CL
GET00633,TWW-ITC-CL
GET00634,TWW-PO-MID-BL
GET00635,TWW-CED-BL
GET00636,TWW-CED-CL
GET00637,TWW-PO-MID-BL
GET00638,TWW-AND-LEAD-CB
GET00639,TWW-PO-SR-CB
GET00640,TWW-AND-SR-CB
GET00641,TWW-WEBD-MID-CB
GET00642,TWW-AND-SR-CB
GET00643,TWW-AND-MID-BB
GET00644,TWW-FULD-MID-CB
GET00645,TWW-PO-MID-CB
GET00646,TWW-AND-LEAD-CB
GET00647,TWW-AND-MID-CB
GET00648,TWW-PO-SR-CB
GET00649,TWW-PO-SR-CB
GET00650,TWW-MAGD-SR-AB
GET00651,TWW-SCMAS-SR-CB
GET00652,TWW-UXUID-MID-CB
GET00653,TWW-UXUID-MID-CB
GET00654,TWW-PLO-CB
GET00655,TWW-IOSD-MID-CB
GET00656,TWW-MAGD-SR-AB
GET00657,TWW-PO-SR-CB
GET00658,TWW-BD-SR-CB
GET00659,TWW-PO-SR-CB
GET00660,TWW-BD-MID-CB
GET00661,TWW-BD-MID-CB
GET00662,TWW-IOSD-MID-CB
GET00663,TWW-PO-SR-CB
GET00664,TWW-AND-SR-CB
GET00665,TWW-UXUID-MID-CB
GET00666,TWW-UXUID-MID-BB
GET00667,TWW-BD-MID-BB
GET00668,TWW-PO-SR-CB
GET00669,TWW-QA-SR-CB
GET00670,TWW-SCMAS-SR-CB
GET00671,TWW-PO-MID-CB
GET00672,TWW-PO-SR-CB
GET00673,TWW-PLO-CB
GET00674,TWW-PO-MID-CB
GET00675,TWW-IOSD-MID-AB
GET00676,TWW-CTO-CB
GET00677,TWW-IOSD-SR-BB
GET00678,TWW-AND-SR-CB
GET00679,TWW-BD-SR-CB
GET00680,TWW-WEBD-SR-CB
GET00681,TWW-AND-MID-BB
GET00682,TWW-PO-SR-CB
GET00683,TWW-UXUID-LEAD-AB
GET00684,TWW-BD-SR-CB
GET00685,TWW-FLUD-SR-CB
GET00686,TWW-IOSD-SR-CB
GET00960,TWW-DGD-SR-CB
GET00968,TWW-IOSD-SR-BB
GET00974,TWW-PO-SR-CB
GET00687,TWW-PO-SR-CB
GET00688,TWW-FULD-SR-CB
GET00689,TWW-IOSD-SR-CB
GET00690,TWW-PLO-CB
GET00691,TWW-FULD-SR-CB
GET00692,TWW-PO-MID-CB
GET00693,TWW-BD-SR-CB
GET00694,TWW-AND-MID-CB
GET00695,TWW-AND-MID-CB
GET00696,TWW-BD-JR-CB
GET00697,TWW-IOSD-SR-CB
GET00698,TWW-FULD-SR-CB
GET00699,TWW-SOME-OPT-AB
GET00700,TWW-IOSD-MID-CB
GET00701,TWW-AND-MID-CB
GET00702,TWW-PO-SR-CB
GET00703,TWW-IOSD-MID-CB
GET00704,TWW-AND-SR-CB
GET00705,TWW-AND-MID-CB
GET00706,TWW-IOSD-MID-CB
GET00707,TWW-AND-MID-CB
GET00708,TWW-IOSD-SR-CB
GET00709,TWW-IOSD-SR-CB
GET00710,TWW-PO-SR-CB
GET00711,TWW-BD-JR-CB
GET00712,TWW-BD-SR-CB
GET00713,TWW-BD-MID-CB
GET00714,TWW-IOSD-MID-CB
GET00715,TWW-IOSD-SR-CB
GET00716,TWW-BD-MID-CB
GET00717,TWW-PO-SR-CB
GET00718,TWW-FULD-SR-CB
GET00719,TWW-PO-SR-CB
GET00720,TWW-FULD-MID-CB
GET00721,TWW-PO-SR-CB
GET00722,TWW-PLO-BB
GET00723,TWW-AND-MID-CB
GET00724,TWW-AND-MID-BB
GET00725,TWW-IOSD-SR-CB
GET00726,TWW-FLUD-SR-CB
GET00727,TWW-PO-SR-CB
GET00728,TWW-BD-MID-CB
GET00729,TWW-AND-SR-CB
GET00730,TWW-AND-SR-BB
GET00731,TWW-FLUD-MID-CB
GET00732,TWW-FULD-SR-CB
GET00733,TWW-PO-SR-CB
GET00734,TWW-IOSD-SR-CB
GET00735,TWW-AND-MID-CB
GET00736,TWW-BD-MID-BB
GET00737,TWW-IOSD-MID-BB
GET00738,TWW-TAR-BB
GET00739,TWW-BD-MID-BB
