Proyecto,Fecha,Planificado,Registrado,Diferencia,Estado
A - Validador de cuentas ACH - Banco Industrial,,0.00,21.17,-21.17,Activo
,28/07/2023,0.00,6.00,-6.00,Activo
,03/08/2023,0.00,6.50,-6.50,Activo
,02/08/2023,0.00,2.17,-2.17,Activo
,04/08/2023,0.00,6.50,-6.50,Activo
A -Transferencias a terceros con TC - Banco Industrial,,0.00,1.00,-1.00,Activo
,16/01/2023,0.00,1.00,-1.00,Activo
Alpha - Anexo QR - Banco Industrial,,0.00,3.65,-3.65,Activo
,30/01/2023,0.00,2.01,-2.01,Activo
,31/01/2023,0.00,1.64,-1.64,Activo
Alpha - Operativo Facturable - Banco Industrial,,0.00,1597.85,-1597.85,Activo
,04/04/2023,0.00,3.75,-3.75,Activo
,08/05/2023,0.00,12.94,-12.94,Activo
,25/04/2023,0.00,8.75,-8.75,Activo
,21/03/2023,0.00,10.05,-10.05,Activo
,16/03/2023,0.00,13.25,-13.25,Activo
,29/05/2023,0.00,14.44,-14.44,Activo
,13/05/2023,0.00,16.50,-16.50,Activo
,07/02/2023,0.00,9.25,-9.25,Activo
,01/06/2023,0.00,11.63,-11.63,Activo
,28/02/2023,0.00,13.50,-13.50,Activo
,29/06/2023,0.00,15.99,-15.99,Activo
,25/05/2023,0.00,10.50,-10.50,Activo
,19/01/2023,0.00,6.42,-6.42,Activo
,21/04/2023,0.00,8.83,-8.83,Activo
,26/07/2023,0.00,8.19,-8.19,Activo
,21/02/2023,0.00,14.74,-14.74,Activo
,22/06/2023,0.00,13.50,-13.50,Activo
,12/01/2023,0.00,20.00,-20.00,Activo
,24/01/2023,0.00,11.75,-11.75,Activo
,31/07/2023,0.00,2.23,-2.23,Activo
,30/05/2023,0.00,12.85,-12.85,Activo
,01/08/2023,0.00,3.00,-3.00,Activo
,24/02/2023,0.00,8.58,-8.58,Activo
,16/02/2023,0.00,13.25,-13.25,Activo
,05/06/2023,0.00,14.31,-14.31,Activo
,22/05/2023,0.00,8.25,-8.25,Activo
,17/05/2023,0.00,13.66,-13.66,Activo
,20/01/2023,0.00,14.93,-14.93,Activo
,16/01/2023,0.00,14.75,-14.75,Activo
,21/01/2023,0.00,2.17,-2.17,Activo
,13/04/2023,0.00,6.75,-6.75,Activo
,02/08/2023,0.00,6.26,-6.26,Activo
,14/07/2023,0.00,13.68,-13.68,Activo
,04/05/2023,0.00,8.75,-8.75,Activo
,08/06/2023,0.00,9.30,-9.30,Activo
,17/07/2023,0.00,11.62,-11.62,Activo
,21/06/2023,0.00,16.02,-16.02,Activo
,29/03/2023,0.00,15.25,-15.25,Activo
,13/06/2023,0.00,12.71,-12.71,Activo
,07/03/2023,0.00,8.00,-8.00,Activo
,17/03/2023,0.00,7.50,-7.50,Activo
,16/06/2023,0.00,8.00,-8.00,Activo
,20/03/2023,0.00,13.50,-13.50,Activo
,26/04/2023,0.00,8.83,-8.83,Activo
,10/05/2023,0.00,10.51,-10.51,Activo
,19/04/2023,0.00,10.00,-10.00,Activo
,01/03/2023,0.00,17.00,-17.00,Activo
,15/02/2023,0.00,13.00,-13.00,Activo
,09/06/2023,0.00,13.66,-13.66,Activo
,26/05/2023,0.00,12.00,-12.00,Activo
,24/03/2023,0.00,15.50,-15.50,Activo
,17/04/2023,0.00,6.50,-6.50,Activo
,12/06/2023,0.00,8.66,-8.66,Activo
,27/02/2023,0.00,15.29,-15.29,Activo
,04/08/2023,0.00,2.16,-2.16,Activo
,10/04/2023,0.00,9.00,-9.00,Activo
,09/05/2023,0.00,12.08,-12.08,Activo
,03/05/2023,0.00,8.50,-8.50,Activo
,18/07/2023,0.00,11.37,-11.37,Activo
,08/02/2023,0.00,9.25,-9.25,Activo
,27/03/2023,0.00,17.78,-17.78,Activo
,08/03/2023,0.00,14.83,-14.83,Activo
,28/06/2023,0.00,12.77,-12.77,Activo
,06/06/2023,0.00,7.00,-7.00,Activo
,27/07/2023,0.00,2.64,-2.64,Activo
,30/03/2023,0.00,8.77,-8.77,Activo
,21/07/2023,0.00,4.45,-4.45,Activo
,05/07/2023,0.00,12.32,-12.32,Activo
,20/04/2023,0.00,12.31,-12.31,Activo
,03/01/2023,0.00,18.60,-18.60,Activo
,16/05/2023,0.00,10.07,-10.07,Activo
,09/01/2023,0.00,8.50,-8.50,Activo
,25/01/2023,0.00,28.11,-28.11,Activo
,19/05/2023,0.00,9.01,-9.01,Activo
,06/01/2023,0.00,9.00,-9.00,Activo
,05/01/2023,0.00,20.75,-20.75,Activo
,26/01/2023,0.00,14.14,-14.14,Activo
,20/06/2023,0.00,12.15,-12.15,Activo
,24/07/2023,0.00,6.10,-6.10,Activo
,09/02/2023,0.00,7.83,-7.83,Activo
,31/01/2023,0.00,0.25,-0.25,Activo
,15/06/2023,0.00,13.59,-13.59,Activo
,14/02/2023,0.00,13.00,-13.00,Activo
,10/01/2023,0.00,12.84,-12.84,Activo
,14/03/2023,0.00,10.75,-10.75,Activo
,19/07/2023,0.00,10.45,-10.45,Activo
,11/04/2023,0.00,14.76,-14.76,Activo
,09/03/2023,0.00,10.37,-10.37,Activo
,20/07/2023,0.00,10.62,-10.62,Activo
,10/02/2023,0.00,10.50,-10.50,Activo
,12/07/2023,0.00,12.83,-12.83,Activo
,11/05/2023,0.00,11.30,-11.30,Activo
,02/03/2023,0.00,5.25,-5.25,Activo
,07/07/2023,0.00,8.32,-8.32,Activo
,18/05/2023,0.00,9.69,-9.69,Activo
,14/04/2023,0.00,6.75,-6.75,Activo
,31/03/2023,0.00,23.25,-23.25,Activo
,27/06/2023,0.00,11.55,-11.55,Activo
,22/02/2023,0.00,10.50,-10.50,Activo
,17/02/2023,0.00,0.50,-0.50,Activo
,13/01/2023,0.00,16.25,-16.25,Activo
,23/05/2023,0.00,14.19,-14.19,Activo
,11/07/2023,0.00,9.52,-9.52,Activo
,18/01/2023,0.00,10.08,-10.08,Activo
,02/06/2023,0.00,11.52,-11.52,Activo
,02/01/2023,0.00,5.50,-5.50,Activo
,15/05/2023,0.00,9.79,-9.79,Activo
,06/07/2023,0.00,11.06,-11.06,Activo
,27/04/2023,0.00,7.50,-7.50,Activo
,19/06/2023,0.00,13.60,-13.60,Activo
,06/02/2023,0.00,7.50,-7.50,Activo
,23/03/2023,0.00,13.75,-13.75,Activo
,15/03/2023,0.00,11.00,-11.00,Activo
,28/07/2023,0.00,1.96,-1.96,Activo
,12/05/2023,0.00,6.00,-6.00,Activo
,30/01/2023,0.00,1.39,-1.39,Activo
,13/02/2023,0.00,11.75,-11.75,Activo
,03/04/2023,0.00,4.50,-4.50,Activo
,04/01/2023,0.00,10.75,-10.75,Activo
,31/05/2023,0.00,15.49,-15.49,Activo
,25/07/2023,0.00,4.50,-4.50,Activo
,14/06/2023,0.00,13.22,-13.22,Activo
,05/04/2023,0.00,0.25,-0.25,Activo
,24/04/2023,0.00,9.12,-9.12,Activo
,20/02/2023,0.00,5.00,-5.00,Activo
,22/03/2023,0.00,15.54,-15.54,Activo
,23/01/2023,0.00,10.34,-10.34,Activo
,23/06/2023,0.00,15.90,-15.90,Activo
,28/04/2023,0.00,6.58,-6.58,Activo
,13/03/2023,0.00,7.80,-7.80,Activo
,07/06/2023,0.00,8.50,-8.50,Activo
,27/01/2023,0.00,5.25,-5.25,Activo
,04/07/2023,0.00,10.17,-10.17,Activo
,10/03/2023,0.00,9.36,-9.36,Activo
,13/07/2023,0.00,11.46,-11.46,Activo
