Proyecto,Fecha,Planificado,Registrado,Diferencia,Estado
A - Anexo 19250 - Transferencias móviles - Banco Industrial,,0.00,1.00,-1.00,Archivado
,21/02/2023,0.00,1.00,-1.00,Archivado
Alpha - Biometria nativa - Banco Industrial,,0.00,9.07,-9.07,Archivado
,18/01/2023,0.00,5.07,-5.07,Archivado
,17/01/2023,0.00,4.00,-4.00,Archivado
Alpha - Transferencias ACH con TC* - Banco Industrial,,0.00,134.63,-134.63,Archivado
,29/03/2023,0.00,3.50,-3.50,Archivado
,13/04/2023,0.00,6.50,-6.50,Archivado
,30/03/2023,0.00,8.06,-8.06,Archivado
,04/04/2023,0.00,14.75,-14.75,Archivado
,21/03/2023,0.00,3.50,-3.50,Archivado
,10/04/2023,0.00,7.03,-7.03,Archivado
,11/04/2023,0.00,10.36,-10.36,Archivado
,20/03/2023,0.00,2.38,-2.38,Archivado
,03/04/2023,0.00,15.74,-15.74,Archivado
,04/01/2023,0.00,2.14,-2.14,Archivado
,14/02/2023,0.00,3.00,-3.00,Archivado
,05/04/2023,0.00,12.00,-12.00,Archivado
,31/03/2023,0.00,5.39,-5.39,Archivado
,12/04/2023,0.00,6.50,-6.50,Archivado
,21/04/2023,0.00,4.00,-4.00,Archivado
,14/04/2023,0.00,14.48,-14.48,Archivado
,22/05/2023,0.00,14.29,-14.29,Archivado
,23/01/2023,0.00,1.00,-1.00,Archivado
Beta - Corrección de token en primer login - 20230413-005 - Banco Industrial,,0.00,7.50,-7.50,Archivado
,14/04/2023,0.00,7.50,-7.50,Archivado
BI - App Bi Banking - Banco Industrial,,0.00,553.48,-553.48,Archivado
,13/07/2023,0.00,9.23,-9.23,Archivado
,24/03/2023,0.00,8.00,-8.00,Archivado
,01/02/2023,0.00,8.00,-8.00,Archivado
,18/05/2023,0.00,6.00,-6.00,Archivado
,20/04/2023,0.00,9.33,-9.33,Archivado
,21/03/2023,0.00,2.75,-2.75,Archivado
,30/06/2023,0.00,15.63,-15.63,Archivado
,04/07/2023,0.00,8.00,-8.00,Archivado
,03/05/2023,0.00,4.13,-4.13,Archivado
,15/05/2023,0.00,5.00,-5.00,Archivado
,30/01/2023,0.00,8.00,-8.00,Archivado
,09/02/2023,0.00,8.00,-8.00,Archivado
,27/03/2023,0.00,7.00,-7.00,Archivado
,14/04/2023,0.00,8.32,-8.32,Archivado
,07/02/2023,0.00,8.00,-8.00,Archivado
,22/05/2023,0.00,16.00,-16.00,Archivado
,10/05/2023,0.00,7.50,-7.50,Archivado
,11/04/2023,0.00,9.42,-9.42,Archivado
,26/04/2023,0.00,6.83,-6.83,Archivado
,13/04/2023,0.00,6.92,-6.92,Archivado
,25/04/2023,0.00,9.00,-9.00,Archivado
,17/04/2023,0.00,5.50,-5.50,Archivado
,20/01/2023,0.00,8.00,-8.00,Archivado
,19/06/2023,0.00,11.00,-11.00,Archivado
,07/06/2023,0.00,9.78,-9.78,Archivado
,06/02/2023,0.00,8.00,-8.00,Archivado
,02/02/2023,0.00,8.00,-8.00,Archivado
,21/06/2023,0.00,11.50,-11.50,Archivado
,19/05/2023,0.00,7.00,-7.00,Archivado
,24/02/2023,0.00,0.50,-0.50,Archivado
,10/02/2023,0.00,8.00,-8.00,Archivado
,22/02/2023,0.00,0.50,-0.50,Archivado
,01/06/2023,0.00,8.00,-8.00,Archivado
,05/05/2023,0.00,7.00,-7.00,Archivado
,18/01/2023,0.00,4.00,-4.00,Archivado
,29/06/2023,0.00,10.35,-10.35,Archivado
,15/06/2023,0.00,7.50,-7.50,Archivado
,09/05/2023,0.00,6.00,-6.00,Archivado
,24/01/2023,0.00,8.00,-8.00,Archivado
,05/06/2023,0.00,7.50,-7.50,Archivado
,20/02/2023,0.00,0.50,-0.50,Archivado
,26/01/2023,0.00,8.00,-8.00,Archivado
,09/06/2023,0.00,20.48,-20.48,Archivado
,28/03/2023,0.00,7.00,-7.00,Archivado
,27/04/2023,0.00,6.00,-6.00,Archivado
,23/05/2023,0.00,16.00,-16.00,Archivado
,08/02/2023,0.00,8.00,-8.00,Archivado
,26/05/2023,0.00,8.00,-8.00,Archivado
,31/01/2023,0.00,8.00,-8.00,Archivado
,18/04/2023,0.00,8.50,-8.50,Archivado
,21/04/2023,0.00,6.00,-6.00,Archivado
,10/04/2023,0.00,7.50,-7.50,Archivado
